,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
120,121.0,3.0,5.0,Ledge Pillow,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
121,122.0,3.0,6.0,Readerest Specsecure,Yes,Consumer Products,Male,150000,65%,230769,,,1.0,,,,,,1.0,150000,
122,123.0,3.0,6.0,The Painted Pretzel,Yes,Food and Beverage,Female,100000,25%,400000,,1.0,,,,,,,1.0,100000,
123,124.0,3.0,6.0,Esso Watches,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
124,125.0,3.0,6.0,Five Minute Furniture,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
125,126.0,3.0,7.0,Kisstixx,Yes,Fashion / Beauty,Male,200000,40%,500000,,1.0,,,,,,,1.0,200000,
126,127.0,3.0,7.0,The Smart Baker,Yes,Food and Beverage,Mixed Team,75000,40%,187500,1.0,,,,,,,,1.0,75000,5% royalty until investment paid back
127,128.0,3.0,7.0,ScotteVest,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
128,129.0,3.0,7.0,The Heat Helper,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
129,130.0,3.0,8.0,Litter,Yes,Fashion / Beauty,Female,80000,51%,156863,,1.0,,,1.0,,,,2.0,40000,
130,131.0,3.0,8.0,Nardo's Natural,Yes,Fashion / Beauty,Male,75000,50%,150000,,,,,,,,,0.0,0,
131,132.0,3.0,8.0,The Original Profender,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
132,133.0,3.0,8.0,Rent-A-Grandma,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
133,134.0,3.0,9.0,Tower Paddle Boards,Yes,Fitness / Sports,Male,150000,30%,500000,,1.0,,,,,,,1.0,150000,"plus ""first right of refusal"" on any future inventions"
134,135.0,3.0,9.0,Miso Media,Yes,Media / Entertainment,Male,300000,8%,3750000,,1.0,,,,,,,1.0,300000,
135,136.0,3.0,9.0,Instant Lifts,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
136,137.0,3.0,9.0,Vinamor,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
137,138.0,3.0,10.0,GoGo Gear,Yes,Fitness / Sports,Female,300000,50%,600000,,,,,1.0,,,,1.0,300000,
138,139.0,3.0,10.0,The Ave Venice,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
139,140.0,3.0,10.0,BrewerΓÇÖs Cow,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
140,141.0,3.0,10.0,BarkΓÇÖemΓÇÖs To Go,No,Pet Products,Male,,,,,,,,,,,,0.0,,
141,142.0,3.0,11.0,ViewSport,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
142,143.0,3.0,11.0,Blondies Cookies,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
143,144.0,3.0,11.0,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
144,145.0,3.0,11.0,The Sullivan Generator,No,Green/CleanTech,Male,,,,,,,,,,,,0.0,,
145,146.0,3.0,12.0,Lollacup,Yes,Children / Education,Mixed Team,100000,40%,250000,,1.0,,1.0,,,,,2.0,50000,
146,147.0,3.0,12.0,Nail Pak,Yes,Fashion / Beauty,Female,50000,40%,125000,,,1.0,,,,,,1.0,50000,
147,148.0,3.0,12.0,Debbie Brooks Handbags,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
148,149.0,3.0,12.0,Trimi Tank,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
149,150.0,3.0,13.0,Villy Customs,Yes,Fitness / Sports,Male,500000,42%,1190476,1.0,1.0,,,,,,,2.0,250000,
150,151.0,3.0,13.0,Boot Illusions,Yes,Fashion / Beauty,Mixed Team,500000,40%,1250000,1.0,1.0,,,,,,,2.0,250000,
151,152.0,3.0,13.0,AirBedz,No,Consumer Products,Male,,,,,,,,,,,,0.0,,
152,153.0,3.0,13.0,Skyride,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
153,154.0,3.0,14.0,Dance With Me,Yes,Fitness / Sports,Male,100000,50%,200000,,1.0,,,1.0,,,,2.0,50000,
154,155.0,3.0,14.0,Wild Squirrel Nut Butter,Yes,Food and Beverage,Female,50000,40%,125000,1.0,,,,,,,,1.0,50000,
155,156.0,3.0,14.0,Mix Bikini,Yes,Fashion / Beauty,Male,50000,25%,200000,1.0,,,,,,,,1.0,50000,
156,157.0,3.0,14.0,Cab20 Rock Band,No,Media / Entertainment,Male,,,,,,,,,,,,0.0,,
157,158.0,3.0,15.0,Remyxx ReKixx Sneakers,Yes,Fashion / Beauty,Male,50000,80%,62500,,,,,1.0,,,,1.0,50000,
158,159.0,3.0,15.0,UniKey Technologies,Yes,Software / Tech,Male,500000,40%,1250000,,1.0,,,,1.0,,,2.0,250000,Deal did not close after snow (http://pando.com/2013/05/08/life-after-shark-tank-the-real-story-of-how-unikey-finally-came-to-market/)
159,160.0,3.0,15.0,The NitroForce Titan 1000,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0.0,,
160,161.0,3.0,15.0,Cougar Limited,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
161,162.0,4.0,1.0,Bev Buckle,Yes,Food and Beverage,Male,50000,51%,98039,1.0,,,,,,,,1.0,50000,
162,163.0,4.0,1.0,Buggy Beds,Yes,Lifestyle / Home,Female,250000,25%,1000000,1.0,1.0,,1.0,1.0,1.0,,,5.0,50000,
163,164.0,4.0,1.0,Coat Chex,No,Business Services,Male,,,,,,,,,,,,0.0,,
164,165.0,4.0,1.0,Body Walking,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
165,166.0,4.0,2.0,SurfSet Fitness,Yes,Fitness / Sports,Mixed Team,300000,30%,1000000,,1.0,,,,,,,1.0,300000,
